"component_name","ionization","assigned_internal_standard","panel","sample_id","abundance","description","cell_number","genotype","condition","sex","batch","group"
"CE(18:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","15",-1.376,"HOM, Methoxy NEG",50000,"APP_SAA_Hom","Methoxy_Neg","Male","Day_3","APP-SAA, Methoxy-"
"CE(18:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","16",-1.287,"WT, Methoxy NEG",50000,"WT","Methoxy_Neg","Female","Day_3","WT, Methoxy-"
"CE(18:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","17",-1.462,"HOM, Methoxy NEG",50000,"APP_SAA_Hom","Methoxy_Neg","Male","Day_3","APP-SAA, Methoxy-"
"CE(18:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","18",-1.501,"WT, Methoxy NEG",50000,"WT","Methoxy_Neg","Female","Day_3","WT, Methoxy-"
"CE(18:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","19",-1.423,"HOM, Methoxy NEG",50000,"APP_SAA_Hom","Methoxy_Neg","Male","Day_3","APP-SAA, Methoxy-"
"CE(18:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","20",-1.513,"WT, Methoxy NEG",50000,"WT","Methoxy_Neg","Female","Day_3","WT, Methoxy-"
"CE(18:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","21",-1.115,"HOM, Methoxy POS",50000,"APP_SAA_Hom","Methoxy_Pos","Female","Day_1","APP-SAA, Methoxy+"
"CE(18:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","22",-1.099,"HOM, Methoxy POS",34378,"APP_SAA_Hom","Methoxy_Pos","Female","Day_1","APP-SAA, Methoxy+"
"CE(18:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","23",-1.118,"HOM, Methoxy POS",47311,"APP_SAA_Hom","Methoxy_Pos","Male","Day_2","APP-SAA, Methoxy+"
"CE(18:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","24",-0.8453,"HOM, Methoxy POS",50000,"APP_SAA_Hom","Methoxy_Pos","Male","Day_2","APP-SAA, Methoxy+"
"CE(18:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","25",-1.159,"HOM, Methoxy POS",34185,"APP_SAA_Hom","Methoxy_Pos","Male","Day_2","APP-SAA, Methoxy+"
"CE(18:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","26",-1.24,"HOM, Methoxy POS",30040,"APP_SAA_Hom","Methoxy_Pos","Male","Day_2","APP-SAA, Methoxy+"
"CE(18:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","27",-1.174,"HOM, Methoxy POS",40165,"APP_SAA_Hom","Methoxy_Pos","Male","Day_3","APP-SAA, Methoxy+"
"CE(18:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","28",-1.499,"HOM, Methoxy POS",19022,"APP_SAA_Hom","Methoxy_Pos","Male","Day_3","APP-SAA, Methoxy+"
"CE(18:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","29",-1.062,"HOM, Methoxy POS",30024,"APP_SAA_Hom","Methoxy_Pos","Male","Day_3","APP-SAA, Methoxy+"
"CE(18:1)","positive","CE(18:1(d7))-Lipid-pos","Lipid","30",-1.164,"HOM, Methoxy POS",30000,"APP_SAA_Hom","Methoxy_Pos","Male","Day_3","APP-SAA, Methoxy+"
"CE(18:2)","positive","CE(18:1(d7))-Lipid-pos","Lipid","1",-1.057,"WT, Methoxy NEG",50000,"WT","Methoxy_Neg","Male","Day_1","WT, Methoxy-"
"CE(18:2)","positive","CE(18:1(d7))-Lipid-pos","Lipid","2",0.1835,"HOM, Methoxy NEG",50000,"APP_SAA_Hom","Methoxy_Neg","Female","Day_1","APP-SAA, Methoxy-"
"CE(18:2)","positive","CE(18:1(d7))-Lipid-pos","Lipid","3",0.3127,"WT, Methoxy NEG",50000,"WT","Methoxy_Neg","Female","Day_1","WT, Methoxy-"
"CE(18:2)","positive","CE(18:1(d7))-Lipid-pos","Lipid","4",0.2629,"HOM, Methoxy NEG",50000,"APP_SAA_Hom","Methoxy_Neg","Female","Day_1","APP-SAA, Methoxy-"
"CE(18:2)","positive","CE(18:1(d7))-Lipid-pos","Lipid","5",1.156,"HOM, Methoxy NEG",50000,"APP_SAA_Hom","Methoxy_Neg","Male","Day_2","APP-SAA, Methoxy-"
"CE(18:2)","positive","CE(18:1(d7))-Lipid-pos","Lipid","6",1.038,"WT, Methoxy NEG",50000,"WT","Methoxy_Neg","Female","Day_2","WT, Methoxy-"
"CE(18:2)","positive","CE(18:1(d7))-Lipid-pos","Lipid","7",1.158,"HOM, Methoxy NEG",50000,"APP_SAA_Hom","Methoxy_Neg","Male","Day_2","APP-SAA, Methoxy-"
"CE(18:2)","positive","CE(18:1(d7))-Lipid-pos","Lipid","8",1.31,"WT, Methoxy NEG",50000,"WT","Methoxy_Neg","Male","Day_2","WT, Methoxy-"
"CE(18:2)","positive","CE(18:1(d7))-Lipid-pos","Lipid","9",1.125,"HOM, Methoxy NEG",50000,"APP_SAA_Hom","Methoxy_Neg","Male","Day_2","APP-SAA, Methoxy-"
"CE(18:2)","positive","CE(18:1(d7))-Lipid-pos","Lipid","10",1.124,"HOM, Methoxy NEG",50000,"APP_SAA_Hom","Methoxy_Neg","Male","Day_2","APP-SAA, Methoxy-"
"CE(18:2)","positive","CE(18:1(d7))-Lipid-pos","Lipid","11",1.157,"WT, Methoxy NEG",50000,"WT","Methoxy_Neg","Male","Day_2","WT, Methoxy-"
"CE(18:2)","positive","CE(18:1(d7))-Lipid-pos","Lipid","12",1.07,"WT, Methoxy NEG",50000,"WT","Methoxy_Neg","Female","Day_2","WT, Methoxy-"
"CE(18:2)","positive","CE(18:1(d7))-Lipid-pos","Lipid","13",1.125,"HOM, Methoxy NEG",50000,"APP_SAA_Hom","Methoxy_Neg","Male","Day_3","APP-SAA, Methoxy-"
"CE(18:2)","positive","CE(18:1(d7))-Lipid-pos","Lipid","14",1.179,"WT, Methoxy NEG",50000,"WT","Methoxy_Neg","Female","Day_3","WT, Methoxy-"
"CE(18:2)","positive","CE(18:1(d7))-Lipid-pos","Lipid","15",1.132,"HOM, Methoxy NEG",50000,"APP_SAA_Hom","Methoxy_Neg","Male","Day_3","APP-SAA, Methoxy-"
"CE(18:2)","positive","CE(18:1(d7))-Lipid-pos","Lipid","16",1.239,"WT, Methoxy NEG",50000,"WT","Methoxy_Neg","Female","Day_3","WT, Methoxy-"
"CE(18:2)","positive","CE(18:1(d7))-Lipid-pos","Lipid","17",1.18,"HOM, Methoxy NEG",50000,"APP_SAA_Hom","Methoxy_Neg","Male","Day_3","APP-SAA, Methoxy-"
"CE(18:2)","positive","CE(18:1(d7))-Lipid-pos","Lipid","18",1.26,"WT, Methoxy NEG",50000,"WT","Methoxy_Neg","Female","Day_3","WT, Methoxy-"
"CE(18:2)","positive","CE(18:1(d7))-Lipid-pos","Lipid","19",1.052,"HOM, Methoxy NEG",50000,"APP_SAA_Hom","Methoxy_Neg","Male","Day_3","APP-SAA, Methoxy-"
"CE(18:2)","positive","CE(18:1(d7))-Lipid-pos","Lipid","20",1.259,"WT, Methoxy NEG",50000,"WT","Methoxy_Neg","Female","Day_3","WT, Methoxy-"
"CE(18:2)","positive","CE(18:1(d7))-Lipid-pos","Lipid","21",0.2962,"HOM, Methoxy POS",50000,"APP_SAA_Hom","Methoxy_Pos","Female","Day_1","APP-SAA, Methoxy+"
"CE(18:2)","positive","CE(18:1(d7))-Lipid-pos","Lipid","22",-0.1123,"HOM, Methoxy POS",34378,"APP_SAA_Hom","Methoxy_Pos","Female","Day_1","APP-SAA, Methoxy+"
"CE(18:2)","positive","CE(18:1(d7))-Lipid-pos","Lipid","23",1.108,"HOM, Methoxy POS",47311,"APP_SAA_Hom","Methoxy_Pos","Male","Day_2","APP-SAA, Methoxy+"
"CE(18:2)","positive","CE(18:1(d7))-Lipid-pos","Lipid","24",1.184,"HOM, Methoxy POS",50000,"APP_SAA_Hom","Methoxy_Pos","Male","Day_2","APP-SAA, Methoxy+"
"CE(18:2)","positive","CE(18:1(d7))-Lipid-pos","Lipid","25",0.4135,"HOM, Methoxy POS",34185,"APP_SAA_Hom","Methoxy_Pos","Male","Day_2","APP-SAA, Methoxy+"
"CE(18:2)","positive","CE(18:1(d7))-Lipid-pos","Lipid","26",0.4851,"HOM, Methoxy POS",30040,"APP_SAA_Hom","Methoxy_Pos","Male","Day_2","APP-SAA, Methoxy+"
"CE(18:2)","positive","CE(18:1(d7))-Lipid-pos","Lipid","27",0.736,"HOM, Methoxy POS",40165,"APP_SAA_Hom","Methoxy_Pos","Male","Day_3","APP-SAA, Methoxy+"
"CE(18:2)","positive","CE(18:1(d7))-Lipid-pos","Lipid","28",-0.1407,"HOM, Methoxy POS",19022,"APP_SAA_Hom","Methoxy_Pos","Male","Day_3","APP-SAA, Methoxy+"
"CE(18:2)","positive","CE(18:1(d7))-Lipid-pos","Lipid","29",0.5223,"HOM, Methoxy POS",30024,"APP_SAA_Hom","Methoxy_Pos","Male","Day_3","APP-SAA, Methoxy+"
"CE(18:2)","positive","CE(18:1(d7))-Lipid-pos","Lipid","30",0.3166,"HOM, Methoxy POS",30000,"APP_SAA_Hom","Methoxy_Pos","Male","Day_3","APP-SAA, Methoxy+"
"CE(20:4)","positive","CE(18:1(d7))-Lipid-pos","Lipid","1",-3.979,"WT, Methoxy NEG",50000,"WT","Methoxy_Neg","Male","Day_1","WT, Methoxy-"
"CE(20:4)","positive","CE(18:1(d7))-Lipid-pos","Lipid","2",-2.739,"HOM, Methoxy NEG",50000,"APP_SAA_Hom","Methoxy_Neg","Female","Day_1","APP-SAA, Methoxy-"
"CE(20:4)","positive","CE(18:1(d7))-Lipid-pos","Lipid","3",-2.446,"WT, Methoxy NEG",50000,"WT","Methoxy_Neg","Female","Day_1","WT, Methoxy-"
"CE(20:4)","positive","CE(18:1(d7))-Lipid-pos","Lipid","4",-2.629,"HOM, Methoxy NEG",50000,"APP_SAA_Hom","Methoxy_Neg","Female","Day_1","APP-SAA, Methoxy-"
"CE(20:4)","positive","CE(18:1(d7))-Lipid-pos","Lipid","5",-1.626,"HOM, Methoxy NEG",50000,"APP_SAA_Hom","Methoxy_Neg","Male","Day_2","APP-SAA, Methoxy-"
"CE(20:4)","positive","CE(18:1(d7))-Lipid-pos","Lipid","6",-1.972,"WT, Methoxy NEG",50000,"WT","Methoxy_Neg","Female","Day_2","WT, Methoxy-"
"CE(20:4)","positive","CE(18:1(d7))-Lipid-pos","Lipid","7",-1.677,"HOM, Methoxy NEG",50000,"APP_SAA_Hom","Methoxy_Neg","Male","Day_2","APP-SAA, Methoxy-"
"CE(20:4)","positive","CE(18:1(d7))-Lipid-pos","Lipid","8",-1.637,"WT, Methoxy NEG",50000,"WT","Methoxy_Neg","Male","Day_2","WT, Methoxy-"
"CE(20:4)","positive","CE(18:1(d7))-Lipid-pos","Lipid","9",-1.726,"HOM, Methoxy NEG",50000,"APP_SAA_Hom","Methoxy_Neg","Male","Day_2","APP-SAA, Methoxy-"
"CE(20:4)","positive","CE(18:1(d7))-Lipid-pos","Lipid","10",-1.781,"HOM, Methoxy NEG",50000,"APP_SAA_Hom","Methoxy_Neg","Male","Day_2","APP-SAA, Methoxy-"
"CE(20:4)","positive","CE(18:1(d7))-Lipid-pos","Lipid","11",-1.63,"WT, Methoxy NEG",50000,"WT","Methoxy_Neg","Male","Day_2","WT, Methoxy-"
"CE(20:4)","positive","CE(18:1(d7))-Lipid-pos","Lipid","12",-1.803,"WT, Methoxy NEG",50000,"WT","Methoxy_Neg","Female","Day_2","WT, Methoxy-"
"CE(20:4)","positive","CE(18:1(d7))-Lipid-pos","Lipid","13",-1.836,"HOM, Methoxy NEG",50000,"APP_SAA_Hom","Methoxy_Neg","Male","Day_3","APP-SAA, Methoxy-"
"CE(20:4)","positive","CE(18:1(d7))-Lipid-pos","Lipid","14",-1.73,"WT, Methoxy NEG",50000,"WT","Methoxy_Neg","Female","Day_3","WT, Methoxy-"
"CE(20:4)","positive","CE(18:1(d7))-Lipid-pos","Lipid","15",-1.75,"HOM, Methoxy NEG",50000,"APP_SAA_Hom","Methoxy_Neg","Male","Day_3","APP-SAA, Methoxy-"
"CE(20:4)","positive","CE(18:1(d7))-Lipid-pos","Lipid","16",-1.683,"WT, Methoxy NEG",50000,"WT","Methoxy_Neg","Female","Day_3","WT, Methoxy-"
"CE(20:4)","positive","CE(18:1(d7))-Lipid-pos","Lipid","17",-1.65,"HOM, Methoxy NEG",50000,"APP_SAA_Hom","Methoxy_Neg","Male","Day_3","APP-SAA, Methoxy-"
"CE(20:4)","positive","CE(18:1(d7))-Lipid-pos","Lipid","18",-1.681,"WT, Methoxy NEG",50000,"WT","Methoxy_Neg","Female","Day_3","WT, Methoxy-"
"CE(20:4)","positive","CE(18:1(d7))-Lipid-pos","Lipid","19",-1.841,"HOM, Methoxy NEG",50000,"APP_SAA_Hom","Methoxy_Neg","Male","Day_3","APP-SAA, Methoxy-"
"CE(20:4)","positive","CE(18:1(d7))-Lipid-pos","Lipid","20",-1.691,"WT, Methoxy NEG",50000,"WT","Methoxy_Neg","Female","Day_3","WT, Methoxy-"
"CE(20:4)","positive","CE(18:1(d7))-Lipid-pos","Lipid","21",-2.6,"HOM, Methoxy POS",50000,"APP_SAA_Hom","Methoxy_Pos","Female","Day_1","APP-SAA, Methoxy+"
"CE(20:4)","positive","CE(18:1(d7))-Lipid-pos","Lipid","22",-3.219,"HOM, Methoxy POS",34378,"APP_SAA_Hom","Methoxy_Pos","Female","Day_1","APP-SAA, Methoxy+"
"CE(20:4)","positive","CE(18:1(d7))-Lipid-pos","Lipid","23",-1.82,"HOM, Methoxy POS",47311,"APP_SAA_Hom","Methoxy_Pos","Male","Day_2","APP-SAA, Methoxy+"
"CE(20:4)","positive","CE(18:1(d7))-Lipid-pos","Lipid","24",-1.724,"HOM, Methoxy POS",50000,"APP_SAA_Hom","Methoxy_Pos","Male","Day_2","APP-SAA, Methoxy+"
"CE(20:4)","positive","CE(18:1(d7))-Lipid-pos","Lipid","25",-2.356,"HOM, Methoxy POS",34185,"APP_SAA_Hom","Methoxy_Pos","Male","Day_2","APP-SAA, Methoxy+"
"CE(20:4)","positive","CE(18:1(d7))-Lipid-pos","Lipid","26",-2.529,"HOM, Methoxy POS",30040,"APP_SAA_Hom","Methoxy_Pos","Male","Day_2","APP-SAA, Methoxy+"
"CE(20:4)","positive","CE(18:1(d7))-Lipid-pos","Lipid","27",-2.213,"HOM, Methoxy POS",40165,"APP_SAA_Hom","Methoxy_Pos","Male","Day_3","APP-SAA, Methoxy+"
"CE(20:4)","positive","CE(18:1(d7))-Lipid-pos","Lipid","28",-3.135,"HOM, Methoxy POS",19022,"APP_SAA_Hom","Methoxy_Pos","Male","Day_3","APP-SAA, Methoxy+"
"CE(20:4)","positive","CE(18:1(d7))-Lipid-pos","Lipid","29",-2.419,"HOM, Methoxy POS",30024,"APP_SAA_Hom","Methoxy_Pos","Male","Day_3","APP-SAA, Methoxy+"
"CE(20:4)","positive","CE(18:1(d7))-Lipid-pos","Lipid","30",-2.614,"HOM, Methoxy POS",30000,"APP_SAA_Hom","Methoxy_Pos","Male","Day_3","APP-SAA, Methoxy+"
"CE(20:5)","positive","CE(18:1(d7))-Lipid-pos","Lipid","1",-4.341,"WT, Methoxy NEG",50000,"WT","Methoxy_Neg","Male","Day_1","WT, Methoxy-"
"CE(20:5)","positive","CE(18:1(d7))-Lipid-pos","Lipid","2",-3.237,"HOM, Methoxy NEG",50000,"APP_SAA_Hom","Methoxy_Neg","Female","Day_1","APP-SAA, Methoxy-"
"CE(20:5)","positive","CE(18:1(d7))-Lipid-pos","Lipid","3",-3.031,"WT, Methoxy NEG",50000,"WT","Methoxy_Neg","Female","Day_1","WT, Methoxy-"
"CE(20:5)","positive","CE(18:1(d7))-Lipid-pos","Lipid","4",-3.25,"HOM, Methoxy NEG",50000,"APP_SAA_Hom","Methoxy_Neg","Female","Day_1","APP-SAA, Methoxy-"
"CE(20:5)","positive","CE(18:1(d7))-Lipid-pos","Lipid","5",-2.285,"HOM, Methoxy NEG",50000,"APP_SAA_Hom","Methoxy_Neg","Male","Day_2","APP-SAA, Methoxy-"
"CE(20:5)","positive","CE(18:1(d7))-Lipid-pos","Lipid","6",-2.551,"WT, Methoxy NEG",50000,"WT","Methoxy_Neg","Female","Day_2","WT, Methoxy-"
"CE(20:5)","positive","CE(18:1(d7))-Lipid-pos","Lipid","7",-2.135,"HOM, Methoxy NEG",50000,"APP_SAA_Hom","Methoxy_Neg","Male","Day_2","APP-SAA, Methoxy-"
"CE(20:5)","positive","CE(18:1(d7))-Lipid-pos","Lipid","8",-2.226,"WT, Methoxy NEG",50000,"WT","Methoxy_Neg","Male","Day_2","WT, Methoxy-"
"CE(20:5)","positive","CE(18:1(d7))-Lipid-pos","Lipid","9",-2.251,"HOM, Methoxy NEG",50000,"APP_SAA_Hom","Methoxy_Neg","Male","Day_2","APP-SAA, Methoxy-"
"CE(20:5)","positive","CE(18:1(d7))-Lipid-pos","Lipid","10",-2.325,"HOM, Methoxy NEG",50000,"APP_SAA_Hom","Methoxy_Neg","Male","Day_2","APP-SAA, Methoxy-"
"CE(20:5)","positive","CE(18:1(d7))-Lipid-pos","Lipid","11",-2.107,"WT, Methoxy NEG",50000,"WT","Methoxy_Neg","Male","Day_2","WT, Methoxy-"
"CE(20:5)","positive","CE(18:1(d7))-Lipid-pos","Lipid","12",-2.545,"WT, Methoxy NEG",50000,"WT","Methoxy_Neg","Female","Day_2","WT, Methoxy-"
"CE(20:5)","positive","CE(18:1(d7))-Lipid-pos","Lipid","13",-2.484,"HOM, Methoxy NEG",50000,"APP_SAA_Hom","Methoxy_Neg","Male","Day_3","APP-SAA, Methoxy-"
"CE(20:5)","positive","CE(18:1(d7))-Lipid-pos","Lipid","14",-2.324,"WT, Methoxy NEG",50000,"WT","Methoxy_Neg","Female","Day_3","WT, Methoxy-"
"CE(20:5)","positive","CE(18:1(d7))-Lipid-pos","Lipid","15",-2.388,"HOM, Methoxy NEG",50000,"APP_SAA_Hom","Methoxy_Neg","Male","Day_3","APP-SAA, Methoxy-"
"CE(20:5)","positive","CE(18:1(d7))-Lipid-pos","Lipid","16",-2.17,"WT, Methoxy NEG",50000,"WT","Methoxy_Neg","Female","Day_3","WT, Methoxy-"
"CE(20:5)","positive","CE(18:1(d7))-Lipid-pos","Lipid","17",-2.315,"HOM, Methoxy NEG",50000,"APP_SAA_Hom","Methoxy_Neg","Male","Day_3","APP-SAA, Methoxy-"
"CE(20:5)","positive","CE(18:1(d7))-Lipid-pos","Lipid","18",-2.223,"WT, Methoxy NEG",50000,"WT","Methoxy_Neg","Female","Day_3","WT, Methoxy-"
