gene_name,logFC,adj.P.Val
Gbp7,-2.2,0.158
Ap1s2,-1.6,0.157
Tagap,-1.1,0.152
Atox1,0.87,0.152
Gsto1,1.3,0.172
Osm,1.7,0.172
Gcnt2,1.7,0.172
Rps13,1.1,0.172
Cd83,1.5,0.147
Abce1,-1.8,0.172
Pabpc1,1.3,0.172
Rpl4,0.83,0.172
Ppip5k2,2.4,0.172
Rspry1,-2,0.172
Tmem37,-0.92,0.172
Ccl4,1.7,0.147
Tpst2,-0.78,0.172
Rps2,1,0.201
Serpine2,0.84,0.158
Zswim1,-5.1,0.09
Svbp,1.1,0.202
Cstf2t,-1.9,0.196
Rps6ka1,-0.9,0.181
Prkab1,-0.91,0.208
Gna15,-0.76,0.201
Erlin2,-1.3,0.229
AC121847.1,-1.2,0.227
Tmem173,-0.86,0.189
Dek,1.1,0.221
RP24-127M20.2,-1.4,0.229
Mob1a,-1.2,0.223
Ly86,0.88,0.172
Rpl23a,1.2,0.229
Rps28,1.4,0.237
Rps21,1.1,0.229
Nceh1,2.5,0.204
Tmem19,-2,0.223
Neat1,1.9,0.245
Rps10,1.3,0.245
Nbr1,-1.8,0.238
Crtap,2.1,0.214
Snta1,-1.6,0.245
Cdk11b,1.1,0.245
P2ry13,-0.78,0.189
Slc40a1,-1.1,0.229
RP23-116C19.1,-1.5,0.254
Gabarapl1,1.8,0.245
Pkm,0.97,0.232
Zfp110,-2,0.253
RP23-203J4.1,1.4,0.26
Bcl2a1a,1.5,0.264
Bank1,-1.6,0.266
Phlda1,3.9,0.218
Mif,1.6,0.266
Rplp0,0.72,0.238
Lsp1,1.1,0.254
Acer3,0.89,0.245
Mrc2,7.8,0.0665
Os9,0.98,0.26
Gadd45b,2.9,0.275
Tmem119,-0.86,0.208
Lrp1,1.6,0.277
Actr6,-2.5,0.26
Rpl21,1,0.268
Atxn10,1.1,0.275
Tlr3,-1.5,0.278
Chmp4b,2.7,0.245
Ip6k1,-1.9,0.278
Spire1,-1.7,0.281
Rpl35a,0.97,0.278
Kat5,-2.1,0.275
Alkbh5,2.3,0.254
Rab8b,-0.88,0.278
Ngrn,-1.6,0.304
Mrps24,1.1,0.299
Tbc1d14,-1.5,0.307
Fkbp2,0.87,0.275
Gpn3,-2.7,0.275
Tmem176a,0.84,0.274
Gspt1,-0.96,0.304
Il17ra,-1.4,0.31
Sh3glb1,0.64,0.274
March1,-0.98,0.301
Ephx1,2.5,0.292
Serpinf1,-1.2,0.307
Lrrc57,-1.9,0.324
Capg,1.8,0.325
Plrg1,1.3,0.328
B3galt6,-2,0.316
Capza2,-0.6,0.254
Akr1a1,0.66,0.275
Snn,-1.5,0.328
Rassf3,2.2,0.307
Tubb2a,1.8,0.332
RP23-285C18.2,1.7,0.332
Tapt1,-1.7,0.332
Ppt1,0.67,0.278
Cmtm7,-1.6,0.332
Rpl27a,1.3,0.332
Dap,1.4,0.332
Vezf1,-2,0.332
Gas5,0.84,0.324
Snrnp200,2,0.332
Cnot8,-0.82,0.304
Ddx3x,1.1,0.325
Cetn2,1.1,0.332
Rchy1,1.3,0.337
Fam46c,1.1,0.332
Slco4a1,-1.5,0.337
Rpl22,1.2,0.337
Pofut1,5.3,0.117
Cd52,1.5,0.32
RP23-192C21.1,-0.74,0.311
Sptan1,3.1,0.278
Ldah,-1.4,0.337
Rbms1,-1.7,0.34
Aar2,-2.5,0.332
Rtn1,-1.3,0.337
Bid,-1,0.332
Numb,-0.84,0.332
Rab11fip5,2.2,0.332
Fam120b,-2.1,0.332
Mrrf,3.8,0.229
Rps17,0.93,0.337
Irf1,1.1,0.332
Nrros,-0.72,0.324
Gch1,1.9,0.337
Sult1a1,-1.2,0.337
Casp4,1.8,0.348
Fbxl3,-1.2,0.348
Bbs9,-1.1,0.347
RP23-81C12.3,2.1,0.337
Ninj1,-0.81,0.332
Nav3,1,0.337
Necap1,-1.6,0.348
Cnot11,-2.3,0.337
Mmp2,-2.3,0.337
Chd1,1.1,0.337
Slc30a7,-1.5,0.348
Chordc1,-1.3,0.348
Ndufaf7,-1.3,0.348
Gla,4.7,0.245
Snhg3,2,0.351
Eef1b2,1.1,0.348
Irgm2,-1.6,0.355
2510009E07Rik,-2,0.353
Tnf,2.2,0.337
Actr1a,-1.2,0.353
Ivns1abp,-0.58,0.304
Mfsd11,-1,0.348
Ggta1,-1.4,0.355
Eif3k,0.98,0.348
Kcnj2,3.1,0.332
Adgrg1,-0.79,0.332
Rps15,0.74,0.348
Dapp1,-0.75,0.337
Gng12,1,0.348
Elmo1,-0.67,0.332
RP23-249P18.1,-2.7,0.337
Flywch1,3.2,0.31
Tex261,-0.94,0.348
mt-Cytb,0.66,0.301
Zc3h14,-1.2,0.364
Milr1,2.1,0.365
Rps4x,0.98,0.348
Itch,-1.2,0.359
Arl14ep,-2.5,0.348
Susd3,-0.51,0.325
Sox4,-1.1,0.359
Clec4a2,-1.1,0.355
Gtpbp4,-1.2,0.374
Diaph2,-1.5,0.376
E2f5,2,0.371
Cst7,7.2,0.364
Insig2,-1.2,0.366
Gatad1,2.7,0.299
Nip7,-1.5,0.376
Plau,4.4,0.246
Ascc2,-2.4,0.348
Nup85,-1.6,0.377
Prpf3,-2.2,0.374
Bcl2a1d,2.4,0.365
Sod1,1.3,0.377
Slc25a25,2.5,0.374
Sla,-0.77,0.351
Lsm4,1,0.374
Tnfaip2,1.6,0.377
Tlk1,-2.2,0.374
Ggt5,-2.1,0.374
Zfp384,-1.4,0.391
Mum1,-2.2,0.376
Eef2,1.1,0.374
Ccny,2,0.39
Mri1,-2.9,0.337
Lyn,-0.62,0.348
Arl8b,-0.73,0.365
Rps3,0.67,0.348
Rpl35,0.86,0.374
Lgals3bp,1,0.355
Spg20,-1.2,0.39
Rmdn3,-1.7,0.404
Nrp2,2.4,0.376
Dnajb9,-0.92,0.39
Il4i1,4.9,0.266
Prkca,-1.3,0.404
Pld3,0.87,0.355
Rps9,0.64,0.348
Cx3cr1,-0.75,0.325
Adrb2,-0.64,0.337
Klhl18,2.4,0.357
Mvp,1.2,0.404
Zfp148,-1,0.396
Maff,4.2,0.275
Slc1a3,-0.82,0.364
Ints9,-1.9,0.404
Il1b,2.3,0.364
Banp,-2.1,0.404
Amz2,1.6,0.407
Sgpl1,-0.73,0.365
Mrpl46,-1.8,0.417
Rps25,0.82,0.374
Orai1,-0.77,0.376
Scamp2,-0.57,0.348
Ctss,0.4,0.281
Rps12,1.2,0.404
Dpagt1,-1.3,0.417
RP23-386A10.2,3.2,0.334
RP24-344N22.4,2,0.406
Tspan32,1.8,0.417
Rpl17,0.98,0.406
Kbtbd2,-1.1,0.396
Parn,-1.4,0.424
Zbtb24,-1.7,0.424
Cdc42ep3,-2.2,0.424
Zfp106,1.4,0.424
Rps29,0.79,0.374
Sh2b3,-1,0.404
Fyco1,-1.5,0.428
Rps27a,0.8,0.39
Nbea,4.7,0.301
Xrcc5,-2.1,0.406
Lrrc61,-3.7,0.337
Brd7,1,0.412
Cd63,0.96,0.348
Capns1,1.1,0.425
Gem,1.4,0.402
Casp8,-0.82,0.404
Anxa3,0.55,0.348
Timm10,-1.7,0.43
Cdkn2aip,-1.7,0.432
Pomk,-2.4,0.406
Cln8,-1,0.405
Rps11,0.66,0.376
Mir22hg,3.6,0.337
Tm9sf2,-0.65,0.376
St7l,-1.3,0.432
Cd72,2.2,0.441
Arl5c,1.8,0.432
Acat2,-2.5,0.423
Cd34,0.95,0.385
Lpl,3.7,0.441
Ufm1,1.5,0.441
Lmna,2.2,0.432
Got1,1.1,0.438
Trub1,2.7,0.406
AC124713.2,-1.8,0.441
Clec7a,2.3,0.441
Ccnc,-1.6,0.441
Srprb,-0.97,0.424
Slc7a8,-0.84,0.392
Idua,-1.4,0.441
Hmces,1.7,0.441
Zfp90,-0.97,0.424
Supt20,-0.74,0.406
Swap70,-1.1,0.424
Tsfm,-1.6,0.441
Tmem154,6.4,0.229
Rps3a1,0.84,0.405
Zfp445,-1.5,0.441
Scamp1,-0.99,0.435
Enpp1,3.8,0.348
Adamts1,2,0.441
Daglb,-0.63,0.374
Anp32b,1.2,0.441
Ficd,-3.3,0.376
Gemin7,-1.3,0.441
Rps6,0.84,0.424
Tlr4,-1.2,0.441
Fam13a,-5.3,0.245
Mocs2,1.2,0.441
Tmem135,-0.76,0.417
Eif4g2,-0.67,0.389
Gdpd1,-3.4,0.391
Lst1,-0.74,0.402
Btbd3,-2.5,0.404
Pomp,0.67,0.377
Upk1b,-0.85,0.393
Coasy,1.4,0.448
Kdsr,2,0.441
Bpnt1,-1.7,0.449
Wdr83os,1.9,0.432
Rrp9,-2.4,0.432
Dclre1c,-1.5,0.452
Coq2,1,0.441
RP24-406I15.2,-3.2,0.405
Calm3,1.1,0.441
Fam58b,-1.5,0.452
Il16,-0.96,0.412
Slc39a13,-1.5,0.453
Ier3,1,0.404
Lcorl,1.3,0.453
Zfp771,-2.2,0.441
Mpnd,-1.5,0.453
Fam72a,-2.2,0.449
Gm22107,-2.4,0.432
Rnf7,-0.77,0.424
Galnt11,-1.6,0.457
Wwp2,-1.3,0.453
Bap1,-1.8,0.457
Ddx51,2.6,0.423
Commd9,-1.3,0.448
Ubap2l,0.86,0.432
Cxxc5,-0.6,0.404
St14,1.9,0.448
Papss1,-0.81,0.424
Pip4k2a,-0.7,0.406
Chst7,-1.4,0.451
Slc39a8,-1.5,0.466
Rps14,0.65,0.4
RP23-32C16.1,2.1,0.448
Ophn1,-0.64,0.417
Irf2bp2,1.3,0.448
Peli2,2.2,0.458
Btg1,0.56,0.401
Anxa4,1.3,0.461
Tom1l1,-1.2,0.453
Plpp1,0.89,0.433
Zfp959,-2.8,0.441
Nsfl1c,-0.85,0.441
RP23-407I21.4,-2.4,0.458
Ddx20,-1.9,0.466
Dnaja4,1.8,0.466
March5,-0.89,0.448
Cd79b,-1.2,0.454
Dnase2a,0.67,0.432
Lamp2,0.56,0.376
Rps26,1,0.451
Rel,1.1,0.448
Pid1,-1.1,0.441
Asf1a,-1.2,0.453
Uap1l1,0.95,0.452
Btf3l4,-1.4,0.473
Tspan9,-5.3,0.276
Hif1a,0.86,0.441
Bckdk,-0.95,0.448
Tab1,-4.9,0.348
Nit2,-1.6,0.476
Naca,0.6,0.424
RP24-531B21.2,4.1,0.374
Ankrd54,-1.8,0.476
Cux1,0.97,0.453
Smpd5,-2.6,0.441
Smc5,-1.3,0.476
Timm21,-1.4,0.472
RP23-440D19.2,-0.73,0.439
Rhoa,0.76,0.441
Pfkfb3,1.3,0.468
Zdhhc17,-2.4,0.457
Zdhhc21,3.7,0.385
Bmpr2,1.5,0.476
Rabl6,1.3,0.478
Ccrl2,0.95,0.423
Pgls,1.1,0.463
Ift88,3.9,0.378
Mrps30,-1.1,0.469
Rpl6,0.68,0.451
Phospho2,-1.2,0.476
Dpy30,0.88,0.445
Fancl,2.2,0.478
Trappc10,1.2,0.476
Rgl1,-1.2,0.478
Tmem140,-1.4,0.476
Setd5,1.9,0.478
Zfp426,-2.1,0.469
Zfp180,-1.9,0.478
Aftph,-0.85,0.453
Ccdc90b,0.97,0.469
Stxbp3,-0.91,0.453
Ints7,4,0.424
Flcn,-0.81,0.442
Apaf1,8.8,0.189
Rab39,-1.2,0.476
Mettl22,-4.6,0.31
Rpp25l,-1.8,0.485
Tmem170b,-1.1,0.478
Tsc22d2,1.5,0.482
Ndufa1,1,0.448
Wipf1,1.2,0.478
Nfatc1,-1,0.466
Pcbp1,-0.64,0.424
H2-K1,0.72,0.402
Ercc6l2,4.1,0.39
Hipk3,2.2,0.478
Lrp6,-4.6,0.374
Smad7,1.3,0.476
Sh3gl1,-0.79,0.442
Map4k5,-1.5,0.489
Ddx28,-2.3,0.476
Csad,-1.1,0.477
RP23-44D14.1,-2.5,0.484
Cfl1,0.67,0.44
Fdxacb1,-4.7,0.393
RP23-284F8.1,-5.5,0.328
Dusp28,4.8,0.364
Polr2d,-1.1,0.478
Capn7,-1.4,0.492
Arap2,2.6,0.451
Dnm2,-0.85,0.441
Foxj3,-4.3,0.369
Mgat1,-0.88,0.448
Plxdc2,0.56,0.404
C2cd5,4.5,0.377
P3h3,4.7,0.368
Ociad1,-0.81,0.453
Stn1,-4.3,0.385
Sparcl1,-4.8,0.492
Vps37c,-1.9,0.488
Abcd3,-1,0.481
Nsd2,2.3,0.476
Tmem176b,0.51,0.406
Srgap2,-0.58,0.43
RP23-19I2.7,4.5,0.412
Tln1,0.82,0.453
RP23-44G15.5,1.3,0.469
Il1rl1,6,0.304
C1rl,-2.2,0.485
Babam1,-1.7,0.502
Pskh1,-2.2,0.484
Gapdh,0.77,0.476
Gcn1l1,2.8,0.453
Gmfb,-0.86,0.476
Cpt2,-2.3,0.492
Hes1,1.1,0.476
Apobr,2.5,0.472
Anxa5,0.99,0.466
Inafm2,3.3,0.448
Zfp182,-3,0.466
Arih2,-1.2,0.502
Pitpnc1,-2.3,0.489
Bin3,1.3,0.492
RP23-370G17.3,8.8,0.137
Cox7a2l,0.83,0.486
Dnmt1,3,0.478
Tut1,-3.9,0.417
Rpl5,0.86,0.476
Traf5,-1.1,0.49
RP23-325I3.1,1.3,0.502
Wdr92,-1.9,0.507
Mndal,-5.2,0.364
Rpl36,0.78,0.466
Slc25a53,3.9,0.432
Rnasel,-2.7,0.502
Drap1,0.95,0.502
Cep76,8.1,0.178
Gtpbp1,-1.8,0.512
RP23-234K24.8,1.1,0.489
Uba1,0.89,0.485
Pvrl4,-4.8,0.377
Gmcl1,-1.3,0.507
Mis12,1.3,0.507
Il7r,-2.5,0.489
Lemd2,-1.2,0.498
Donson,-1.8,0.512
Ddi2,1.5,0.519
Nmt2,3.8,0.432
Rars2,1.3,0.507
Abr,-1.4,0.513
Anapc11,0.89,0.478
Atp5e,0.81,0.468
Pxn,-1.4,0.514
Ids,-1.2,0.507
Cdc27,1.4,0.522
Wwc2,-1.8,0.522
Ubr4,2.7,0.495
Zfp677,-3,0.478
P2ry12,-0.82,0.374
RP24-68G17.3,-1.1,0.499
RP24-365N15.5,3.9,0.441
Dcaf12,-0.87,0.478
Crat,0.99,0.501
Sall3,1.4,0.507
Eno3,-1.7,0.525
Pank4,-2,0.507
Acss1,-0.99,0.502
Lat2,0.72,0.45
Psmd6,-0.71,0.476
Pop1,5.1,0.374
Angptl7,-1.3,0.525
Mtpn,-0.73,0.466
Clec4a3,-0.7,0.466
Espl1,-1.8,0.525
Usp21,-0.82,0.476
Tmem39a,-1.4,0.529
Fosb,1.5,0.503
RP23-331A21.2,-2.4,0.507
Vdac2,-0.56,0.449
Fchsd2,-0.87,0.488
Stk10,-1.2,0.51
Gtf3c6,-1.2,0.502
Apba3,-1.8,0.525
Ranbp3,-0.93,0.502
Arrdc2,-2,0.51
Sepsecs,-2.6,0.486
Zfp709,-2.1,0.519
RP23-144K18.5,-1.4,0.525
AC131791.1,-7.9,0.266
Cox17,1.2,0.529
Tubb4b,1.1,0.525
Lyrm2,1.1,0.525
Dgkd,1.3,0.521
Luzp1,-3.2,0.476
RP23-256L12.2,1.2,0.514
Rps23,0.67,0.476
RP23-403O11.9,-2.1,0.534
Mpi,-1.1,0.503
Ppp3ca,-0.96,0.488
Nipa1,-1.5,0.534
Adipor2,-2.9,0.505
Vezt,-3,0.476
Tbp,-1.2,0.525
Pebp1,1.8,0.53
Ly6a,-9.1,0.274
RP23-13B8.9,4.4,0.453
RP24-70M22.1,-4.2,0.402
Nexn,6,0.337
Ddx39b,0.94,0.525
Txndc11,-1.2,0.529
Hrsp12,-1.9,0.534
Hcfc2,-4.3,0.441
Phgdh,-0.84,0.499
Sash3,-0.78,0.478
Pkn2,0.83,0.502
Kat2b,4.8,0.432
Dennd4a,0.97,0.484
RP24-273K21.3,-1.2,0.534
Thnsl1,-6,0.337
Sh3bgrl,2.4,0.529
Tollip,-1.2,0.53
Zscan29,-1.2,0.529
Scamp5,-1.2,0.534
Sgpp1,-1.1,0.507
Fbxo34,-2.3,0.534
Washc3,-1,0.51
Per3,3.2,0.448
Hdac5,1.2,0.534
Adam10,-0.71,0.472
Slc35f5,-1.5,0.536
Hcar2,5.4,0.355
Peli1,-0.71,0.482
Ercc8,4.5,0.466
Cep68,-1.7,0.536
Dcaf10,-2.2,0.534
Thoc5,1.4,0.536
Fam53c,-3,0.489
Haus1,1.8,0.536
Pex12,-2,0.535
Sirt4,-5.9,0.348
Ipo11,-0.9,0.503
Card6,-2,0.534
Hadha,1,0.529
Clasrp,1.5,0.536
Mrm3,-3.3,0.476
Kcnk12,-1.2,0.534
Ifrd1,0.88,0.482
Fam114a1,-4.9,0.424
Adpgk,-1.6,0.536
Cops9,0.81,0.479
Pxdc1,2.6,0.525
RP23-291B1.2,-3.5,0.502
Ccdc152,4.1,0.391
Fpgs,-1.2,0.536
Farp2,7.6,0.278
Aldoa,0.77,0.449
Tmem251,1.1,0.505
Ntsr2,-7,0.466
Arid4a,-0.77,0.486
RP23-114B10.6,-1.7,0.536
Lrrc42,6.6,0.332
Fbxl12,-1.3,0.536
Mlxipl,-0.79,0.485
Braf,2.3,0.53
Stxbp4,-5.6,0.351
Exosc9,0.94,0.525
Mpp1,-1.2,0.536
Cbl,1.3,0.529
Dffa,-2,0.536
Tdrkh,-1.8,0.545
Cab39,-0.71,0.507
Fli1,-0.76,0.502
Fubp3,-1.4,0.546
Med24,2.3,0.534
Mtcp1,4.5,0.457
Kctd21,-4.9,0.453
Iqgap3,2.8,0.528
Kctd2,-2.5,0.525
Tada2a,2.3,0.536
AC139867.2,-5,0.441
Use1,0.8,0.512
Tspan18,-1.2,0.536
Hexa,0.55,0.432
Ppp1r10,1.1,0.536
Zbtb25,-2,0.545
Pcbp2,1.3,0.525
Dusp7,-1,0.534
Msr1,-3.4,0.534
Slc46a3,-0.73,0.478
Noa1,2.3,0.536
Srpk2,0.96,0.527
Hilpda,1.7,0.551
Pradc1,-4.2,0.441
Plcd1,-2.5,0.546
Cox6a1,0.66,0.453
Snap25,-7.1,0.332
Ubtd1,-1.3,0.549
Gtf3c2,-1,0.536
Kctd11,-2.8,0.529
Ciart,3.9,0.449
Chst2,7.5,0.266
Dis3l2,2,0.536
Las1l,-1.2,0.549
Dnajc19,-0.73,0.503
Mfsd12,2.7,0.507
Kpna4,-0.88,0.529
Tmem168,-0.85,0.512
RP23-235I2.1,-1.4,0.558
Ache,4.9,0.377
Apobec1,-0.81,0.512
Harbi1,-3.8,0.478
Pigb,-4.2,0.457
Ndufb2,1.1,0.536
Mms22l,-6.8,0.337
Topbp1,-2.5,0.535
Armc7,-1.5,0.561
Optn,3.6,0.502
Repin1,-4.8,0.432
Mipep,-3.4,0.503
Csf2ra,1,0.536
Ppm1d,-1.9,0.557
Cers6,2.1,0.546
Mir142hg,0.85,0.529
Fam117a,4.3,0.432
Dnajc10,-2,0.562
Foxp1,1.2,0.546
Arid3a,3.3,0.527
Gpd2,-5.2,0.448
Ptk2b,-0.9,0.534
Ifi203,-5.7,0.417
Rpl34,0.66,0.501
Stard9,1.2,0.542
Hexdc,-7.7,0.278
Haus2,1.8,0.565
Siae,1.5,0.562
Fat3,5.3,0.423
Zfp609,5,0.376
Mapk6,1.9,0.547
Fam179b,-3,0.526
Ndst2,-1.2,0.557
Nanos1,6.5,0.417
Ndufs6,0.7,0.51
Anks3,-0.98,0.536
RP23-50F19.4,7.5,0.337
Pmvk,-3.2,0.503
Bccip,0.84,0.525
Mlc1,-7,0.348
Baiap2,-6.2,0.335
Nop10,0.68,0.503
Kpna2,-1.4,0.565
Tmem138,-4.4,0.424
Scaf11,0.68,0.507
Trim30c,-7.6,0.275
Tmc7,-1.6,0.565
Gbp9,-1.5,0.565
RP23-55L3.5,0.78,0.531
Batf,1.7,0.565
Tbl1x,1.3,0.562
Atg12,-1,0.536
Fam206a,2.8,0.536
Zfp69,-1.7,0.565
Dhx30,1.1,0.546
RP23-79J15.4,-1.8,0.565
Mettl13,3.6,0.502
Selplg,-0.44,0.404
Ctsa,0.47,0.438
RP23-388P2.5,-2.2,0.561
Ptpn1,-0.59,0.478
Wbscr22,-1,0.534
Pms1,2.5,0.536
Emc2,-0.86,0.534
Fam210a,-2.7,0.534
Bicral,1.9,0.565
Zscan12,-7,0.348
Arhgap19,-3.1,0.563
RP23-121M22.6,7.1,0.337
Yipf2,-1.5,0.571
RP24-185P7.1,4.2,0.478
Ghdc,-1.8,0.571
Elf4,1.9,0.568
Pfn2,-5.2,0.448
Zfp748,-2.4,0.565
Zfp101,-3.7,0.512
Ppp1cb,1.1,0.534
Dr1,-1.4,0.573
Cc2d1b,-1.2,0.565
Nelfa,-1.2,0.562
Pdgfb,1.3,0.565
Spsb1,-1.1,0.562
Tmem53,-7.8,0.332
Gpr180,-1.1,0.558
Tecpr1,2.1,0.565
Cpeb2,2,0.569
Zdhhc6,-1,0.551
Gsg2,2.8,0.565
Tmem55b,-0.68,0.498
Tomm40,-0.93,0.558
RP23-243E17.1,1.9,0.575
Ccdc66,-4.2,0.478
Hn1,-0.59,0.498
Ets1,-1,0.557
Ripk3,-3.7,0.529
Plpp3,-6.8,0.469
Rhot1,-0.96,0.536
Hepacam,-8.7,0.275
RP24-535N4.2,-2.1,0.568
F13a1,-3.8,0.582
Myo1e,2.1,0.571
Med29,-1.7,0.571
Yy1,1.6,0.575
Zfp932,-6,0.348
Golga7,-0.68,0.533
Rpl39,1.2,0.575
Zfp882,3.6,0.529
Llph,1.1,0.565
Chmp7,-1.1,0.562
Kxd1,-1.2,0.565
Dgka,1.8,0.577
Txnl1,0.77,0.529
Cacna1s,1.9,0.58
Nmb,3.8,0.505
Sh3tc1,1.3,0.577
Nkapl,3.6,0.54
Mllt11,-2.8,0.564
Arpp19,0.6,0.502
Jrk,-6.2,0.412
Napb,-7,0.355
Mavs,-1.1,0.565
Fancg,-4.2,0.46
RP24-218K1.3,-2.7,0.536
Prelid1,0.75,0.534
RP23-345F4.2,5.8,0.374
Ccdc102a,3.2,0.536
Sec24a,2.4,0.575
Secisbp2,-1,0.557
mt-Nd4,0.97,0.472
Klf3,-0.64,0.502
Ocrl,5.7,0.432
RP23-469H5.2,-5.9,0.436
Pigh,-1.2,0.565
Nudt13,-1.5,0.581
Dhx29,-1.8,0.584
Wrap53,-7.4,0.348
Lcmt1,-4,0.534
Trim34a,-1.6,0.585
Ppil3,1.6,0.577
Bbs4,-3.6,0.515
Lcp1,-0.52,0.466
Cpsf4,1.2,0.565
Kif5a,3.6,0.53
Maml1,-3.9,0.501
Tram1,-0.58,0.481
Pa2g4,1.2,0.575
Smg7,-3.3,0.536
Tbc1d20,-1.4,0.588
Ubr7,2,0.584
Ldlr,5.5,0.468
Syk,1.2,0.565
Unc93b1,-0.5,0.453
Arrdc3,-1,0.503
Rexo4,-0.87,0.557
Pltp,-3.2,0.542
Glrp1,-3.1,0.536
Scrib,3.6,0.502
Gcc1,-5.7,0.377
Pdk1,0.83,0.536
Pyroxd2,2.2,0.58
RP23-284J4.2,-1.9,0.592
Ano10,-1.3,0.587
RP23-46L5.1,4.4,0.503
Sco1,-2.4,0.569
Zfp930,-3.2,0.551
RP23-336M16.3,3.2,0.554
Tirap,-1.6,0.592
Rpain,-0.95,0.536
Cog4,-1.2,0.579
Smyd3,-1.3,0.581
Rbm43,-1.5,0.593
RP24-228M19.1,1.2,0.571
Taf4b,6.5,0.374
Bhlhb9,-1.9,0.592
Fau,0.54,0.503
RP23-263B18.4,1.7,0.58
Prep,-1.8,0.594
Zbp1,5.4,0.469
Kdm5b,-1.3,0.581
Plaa,-1.3,0.58
Edrf1,-4.3,0.492
Baz2a,2,0.584
Prmt5,1.1,0.567
Vkorc1,0.89,0.554
Arfrp1,0.78,0.545
Cc2d1a,2.7,0.536
Ndufb6,0.7,0.529
Lrpap1,0.59,0.507
Stat2,-1.8,0.598
Zfp35,-1.5,0.598
Rpl14,0.68,0.519
Napa,0.61,0.502
Fars2,-2.8,0.561
Fam222b,-1.5,0.598
Dclre1b,-7,0.406
Hmgb1,0.63,0.529
RP24-264F17.2,-8.6,0.332
Polr3f,-1.5,0.595
Endov,-5.1,0.441
Tmem222,-0.84,0.542
Lrrc40,-1.2,0.598
Snx27,1.9,0.598
Elmsan1,2.9,0.563
Ftx,2.8,0.562
Tnfaip3,0.7,0.49
Zmiz1,0.98,0.542
Elavl4,1.6,0.598
Fyb,0.61,0.497
Kcng2,-8.8,0.304
Glul,-0.56,0.484
Fam91a1,-0.75,0.529
Stk17b,-0.9,0.546
Mmd2,-7.9,0.385
RP24-381E21.2,5,0.475
Fer,-1.2,0.546
Atpaf2,-1.2,0.589
Alg3,-1,0.575
Fryl,2.2,0.588
Snhg17,-2.4,0.578
Tlr7,-0.67,0.534
Abcb10,3.1,0.56
Kcnd1,-1.5,0.598
Ttc30a1,-4.9,0.472
Kank3,-2.6,0.59
Zfp46,3.4,0.57
Oasl2,4,0.555
Rhoc,1.2,0.58
Sesn2,-5.5,0.484
Fndc7,5.4,0.46
Srp72,-0.86,0.565
Pmaip1,1.1,0.573
RP23-433P9.4,-5.2,0.476
Themis2,-0.91,0.536
Zfp943,-1.5,0.603
Desi2,-1.1,0.571
Sh3bgrl3,0.5,0.472
Zfp560,-1.4,0.598
Camk2g,2.5,0.575
Etv5,-1.1,0.568
Fgf13,1.8,0.603
Rab3il1,-0.6,0.485
Myo9b,1.7,0.603
Luzp2,-7.2,0.404
Ccdc137,-1.9,0.603
RP24-88B13.3,1.7,0.603
