gene_name,logFC,adj.P.Val
Tmed10,0.58,0.353
Ercc4,-2.4,0.425
Gigyf1,-4.1,0.407
Trim8,-0.83,0.372
Abhd17a,0.95,0.386
Tk2,-0.94,0.397
Mbtps1,-0.95,0.397
Ccdc137,2.3,0.433
Med24,-2.2,0.432
Arap1,-1.2,0.424
Lmbrd2,-3.1,0.424
Cd14,0.97,0.305
Ubac1,1.2,0.424
Adipor2,2.9,0.424
Rbm43,1.7,0.442
Riox2,-1.5,0.431
Mcoln1,-1.1,0.421
Fdxr,2.7,0.427
Dnajc10,2.2,0.444
Btbd9,-0.86,0.386
Gas2l3,11,0.157
Dpm3,1.2,0.424
Romo1,0.91,0.389
Gnptab,2.9,0.414
Pim1,-5.2,0.296
Tmem205,5.7,0.388
Casp4,-1.4,0.424
Actr6,1.7,0.444
Il1a,-0.87,0.311
Tle1,3.8,0.369
Rragc,0.71,0.372
Kansl3,-1.4,0.435
Tmco3,1.6,0.434
Tctn3,4.2,0.369
Ado,-1.8,0.447
Arl8b,0.65,0.375
Txlna,-1.3,0.416
Psmb5,0.94,0.419
Hmgcs1,2.1,0.447
Samhd1,-1,0.414
Zdhhc16,1.3,0.431
Slc5a6,3.3,0.424
Fam114a1,4.6,0.372
Ndufa7,0.67,0.368
Slc2a6,9.5,0.219
Kif16b,-2.4,0.431
Zmiz1,-1.1,0.397
RP23-13B8.9,-3.9,0.414
Vasp,-0.83,0.388
Mis18a,-1.2,0.435
Ndufa2,0.75,0.372
Wdr36,1.4,0.447
Akap11,-3.1,0.424
Cisd3,1.6,0.453
Ly6a,8.1,0.268
Mt2,3.5,0.433
Stim1,-2.3,0.453
Tmem164,-1.8,0.453
Psen2,1.8,0.453
Ubn1,-1.1,0.402
Sugp2,-2.4,0.442
Azi2,-0.95,0.421
Hexdc,7.6,0.208
Ubc,-0.66,0.292
Arel1,-2.3,0.447
Eef1kmt4,2.5,0.439
Actr3b,10,0.13
Rpl37,0.73,0.372
Zfp46,-3.7,0.424
Pusl1,-2.3,0.453
Vipr1,-6.3,0.296
Mrpl54,1.3,0.424
Smad3,-1.6,0.447
Nme1,0.89,0.4
Fam122a,-1.1,0.444
Emg1,0.74,0.386
Rai14,6.9,0.245
Dact1,7.3,0.247
Bcl2a1a,1,0.412
Tes,-1.2,0.425
Gimap5,-3.7,0.414
Zfp719,-1.4,0.447
Tcn2,0.61,0.34
Sh3pxd2a,-2.9,0.412
Rbm25,-0.65,0.363
Haus1,-1.9,0.46
Ccbl1,7.2,0.23
Filip1l,-0.94,0.397
Gpank1,1.8,0.46
Dhodh,-1.7,0.459
Pno1,1.2,0.434
Bcl2a1d,2,0.461
Malsu1,1.1,0.428
Mfge8,2,0.459
Inf2,7.1,0.242
Mpnd,1.3,0.447
2410015M20Rik,0.67,0.39
Desi2,1.2,0.434
Mndal,5.4,0.344
Sept8,2.6,0.447
AC130827.2,1.6,0.463
Nrm,-0.83,0.423
Tomm34,0.87,0.408
Nup88,-0.81,0.397
RP23-406J21.4,-4.7,0.378
Nrp2,1.9,0.466
Cramp1l,-6.5,0.335
Zfp692,3.7,0.403
Zfand2a,2.1,0.467
Glrp1,3.3,0.424
Slc11a2,1.1,0.447
Mipol1,-5.3,0.372
Extl3,-1.4,0.46
Gm6297,-4.7,0.388
Pfas,-4.8,0.344
Apc,-1.6,0.453
Selm,4.3,0.347
Prelid2,3.6,0.421
RP24-95J4.3,6.3,0.303
Mrps21,1,0.424
RP23-211B19.2,-1.4,0.463
Bcar3,9.8,0.178
Vkorc1,0.95,0.424
Rc3h1,-2.1,0.47
Rell1,5.5,0.344
Bola2,1.1,0.432
Lemd3,-3.9,0.429
Bbip1,-0.87,0.413
Pkib,0.98,0.416
Zfp446,8.5,0.246
Zbtb2,-1.4,0.461
RP23-44E17.1,-2.6,0.464
Zcchc3,-6.6,0.303
Emc4,0.69,0.405
Avl9,-1.5,0.466
Adpgk,1.6,0.468
Atp6v1f,0.61,0.372
Cbx8,-2.1,0.472
Tbl3,-1.3,0.453
Hells,8.8,0.208
Ddx24,0.74,0.397
RP23-25E6.2,-4.6,0.386
Gcc1,5.5,0.296
9930104L06Rik,-3.5,0.416
AC131791.1,6.8,0.302
Rhbdd2,1.5,0.469
Cxcl16,0.82,0.386
Myl6,0.73,0.388
Prpf3,1.5,0.469
RP24-344N22.3,-1.4,0.424
Sgms1,1.9,0.476
Dpy30,-0.83,0.397
Rsad2,10,0.201
Cyc1,0.6,0.388
Hbegf,-3.2,0.452
Ch25h,12,0.393
Rnasel,2.6,0.475
Rpl30,0.81,0.405
Tmem147,0.73,0.39
Chd2,-0.89,0.414
Grhpr,1.9,0.474
Atl1,5.4,0.328
AC124713.2,1.5,0.473
Dok1,-1.1,0.464
Zfp961,-2.3,0.461
Prdm11,-4.6,0.382
Arhgef10l,-2.2,0.476
Supt16,1.1,0.447
Tspo,0.7,0.382
Slc30a4,-4.5,0.382
Tmem204,-0.9,0.407
Mr1,2.9,0.459
Rps15a,0.86,0.425
Rps6ka5,-2.3,0.477
Cass4,-1.3,0.472
Slc30a7,1.1,0.447
Dnajb14,1.1,0.454
Emc10,0.7,0.402
Adamts16,-2.3,0.475
Rab22a,-1.1,0.447
Pigb,3.9,0.415
Cks1b,4.5,0.427
Nek9,-2.2,0.479
Zfp810,-1.4,0.463
Zcchc17,0.8,0.414
Maff,3.4,0.426
RP23-366I10.5,-4.5,0.424
AC102232.1,-3.3,0.448
Mrc2,-3.5,0.453
Man2b1,0.56,0.347
Zfp775,3.6,0.447
Apba3,1.6,0.482
Atp13a3,-1.4,0.477
RP23-336M16.3,-2.6,0.477
Smpd5,2.2,0.481
Dhrs3,0.72,0.393
Trim12c,-2.3,0.478
AC139867.2,4.4,0.421
Pou2f2,-1,0.424
Bag1,0.67,0.388
Ngfrap1,1.8,0.477
RP24-214P19.2,4.2,0.414
Pigz,5.4,0.386
Slc24a3,-2.9,0.453
Gpd1l,-1.1,0.463
Ostf1,-0.53,0.382
Nop16,0.96,0.432
Otud7b,-2.2,0.477
Syce2,2.4,0.477
Naa50,0.86,0.421
Card9,2,0.483
RP23-96N11.4,-4.4,0.402
RP23-402K24.2,-1,0.453
Trit1,-1.1,0.46
Tmem53,6.8,0.303
RP23-114N13.4,-7.2,0.296
Camkk2,1.4,0.481
RP23-56B11.6,-1.4,0.447
RP23-189N15.6,0.8,0.419
Prkar1b,1.6,0.476
Csnk1a1,-0.66,0.386
RP23-140G16.2,-1.3,0.477
D930015E06Rik,1.6,0.482
Rbm19,2.4,0.481
Orai2,-1.5,0.472
Xrcc4,-2.1,0.484
Map3k7,-1.3,0.466
Rnf135,-0.99,0.447
