gene_name,logFC,adj.P.Val
Cox6b1,0.93,0.00512
Rpl36,1,0.00557
Mpnd,2.1,0.00549
RP24-344N22.3,-2.1,0.00634
Tpp1,0.68,0.0051
Tecr,0.73,0.00534
Mis12,-1.8,0.00618
Atp6v1f,0.76,0.00544
Ppp1cb,-1.5,0.00645
Mtus1,-0.84,0.00549
Hspa1a,-2.5,0.00566
Rpl19,0.87,0.00634
Tnpo1,-2.4,0.00615
Rpsa,1.3,0.00646
Pdia6,0.79,0.00537
Hspa1b,-3.4,0.00574
Siglecf,2.3,0.00566
Hpgd,-0.88,0.00549
Rpl38,1.3,0.0071
Fcgr2b,0.62,0.00549
Rabac1,0.83,0.00568
Lyz2,2.2,0.00564
Mob3c,-1.2,0.0071
Ndufa7,0.83,0.00636
Myo1e,3.4,0.00398
Syk,-1.8,0.0076
C1qc,0.46,0.00435
Lat2,0.89,0.00637
P2rx4,0.8,0.0071
Fam105a,-0.65,0.00549
Plpp1,1,0.00727
Bmp2k,-0.87,0.00679
Dpm3,1.6,0.00778
Cass4,-1.9,0.00725
Cmtm3,0.8,0.00692
Eef2k,-1.2,0.00856
Nagk,1.2,0.00887
Cox5b,0.98,0.00799
Slc2a1,1.7,0.00926
Rpl12,1.2,0.00936
Mier2,-1.5,0.00941
Pmp22,0.73,0.00679
Tex264,1.3,0.00942
Dusp16,-3,0.00511
Rcsd1,-0.8,0.00847
Itm2b,0.41,0.00514
Ccr5,-0.7,0.00772
Myl6,0.91,0.00887
Cstb,0.76,0.00887
Ndufb8,0.82,0.00926
Cope,0.74,0.00859
Kxd1,1.9,0.0109
Stard9,-1.6,0.0115
Eri1,-1.4,0.0116
Fuca1,0.79,0.00926
Lamtor4,1.1,0.0115
Phf11b,1.8,0.0112
Tpm4,1.3,0.0115
Zcchc6,-1.2,0.0115
Cox6a2,5.9,0.00549
Rpl32,0.79,0.0093
Xpo7,-2.1,0.0103
Gcnt2,1.3,0.012
Ramp1,1.9,0.0118
Rnf7,0.9,0.0112
Arf6,-0.82,0.0103
Atp5h,0.81,0.0103
Il10ra,-0.85,0.0097
Msmo1,1.7,0.0132
Elob,0.86,0.0115
Sall1,-1.3,0.0125
Gng5,0.81,0.0124
Echs1,1.2,0.0141
Tpp2,-0.97,0.0143
RP23-460F21.1,-1.2,0.0145
Vkorc1,1.2,0.0151
Tex30,-1.9,0.0137
Cox7c,0.89,0.0135
Bnip3l,0.89,0.0151
Rps23,0.79,0.0141
Dopey2,-1.4,0.0165
Txn2,1,0.016
Dnaja1,-0.91,0.0137
Rtp4,1.9,0.0164
Rp2,-1.1,0.0151
Hsbp1,0.65,0.0124
Tacc1,-0.77,0.0151
Ergic3,0.83,0.0143
Klhdc8b,-1.5,0.0185
Rps16,0.93,0.0178
Rps19,0.85,0.0152
Rps2,0.83,0.0175
Cmtm6,-0.66,0.0124
Tomm7,1.2,0.0182
Tspo,0.81,0.0151
Timm8b,1.2,0.0183
Rab3gap2,-1.7,0.019
Ptpn6,0.58,0.0144
Tbc1d9,-1.8,0.0189
Zmiz1,-1.2,0.0189
Cox20,0.9,0.0189
Stbd1,-3.3,0.0137
arsb,-0.81,0.0189
Rock2,-0.78,0.0194
Fis1,0.84,0.0195
Rplp2,0.87,0.0189
Ost4,0.83,0.0195
Rpl21,0.88,0.0193
Degs1,0.86,0.0195
Gabarap,0.68,0.0186
Uqcr11,0.81,0.0189
Krit1,-1.3,0.0226
Npm1,0.9,0.0214
Tsc22d2,-1.7,0.0233
Cd34,0.96,0.0189
Commd9,1.4,0.0231
Egr1,-0.72,0.014
Ecscr,-0.72,0.0182
Dpagt1,1.5,0.0237
RP23-44D14.1,-1.4,0.0233
Csf1,2.5,0.0254
Rsrc2,-0.67,0.0199
Fkbp1a,0.73,0.0205
Acox3,-0.96,0.0214
Edf1,0.8,0.0211
RP24-261H7.9,0.92,0.0225
Smad7,-1.5,0.025
Adgrg1,-0.72,0.0189
Cox7a2,1,0.022
Coa3,0.78,0.023
Stat3,-0.94,0.0241
Fgd2,-0.64,0.0189
Zc3h7a,-1,0.0229
Commd4,0.74,0.0226
Tmem164,-2.9,0.0195
H2-M3,0.87,0.0226
Got1,1.1,0.0267
Nceh1,1.8,0.0259
Elmo1,-0.6,0.0197
Spcs1,0.58,0.0211
Lsm14a,-1.2,0.0259
Vps37b,-0.92,0.0245
Trim47,-1.2,0.025
Plin2,1.2,0.027
Mthfd2,1.6,0.0279
Akirin2,-0.75,0.0227
Psme2,0.66,0.0221
2410015M20Rik,0.76,0.025
Ndufb9,0.98,0.0259
Tmem9b,0.76,0.0224
Lamtor1,0.75,0.0233
Cbx4,-1.2,0.0279
Ccdc117,-1.2,0.0288
Asb2,-1.1,0.0277
Fam102b,-0.87,0.0227
Pilra,1.6,0.0293
Etv3,-1.5,0.0293
Arhgap24,3.8,0.00853
Jak1,-0.62,0.0233
Pkib,1.1,0.028
Cfap45,-2.4,0.0286
Sh3tc1,-1.6,0.0293
Milr1,2,0.0293
Rps28,1.1,0.0293
Snn,-1.4,0.0296
Ndufa2,0.81,0.0247
Zfp410,-1.2,0.0302
Srsf3,-0.59,0.0227
Med28,0.76,0.024
RP23-281H4.11,-2.3,0.027
S100a13,1.1,0.0296
Ddx24,0.85,0.0275
Nfkbiz,-1,0.0233
Atp5e,0.88,0.027
Tmem106a,1.4,0.0305
Lpcat2,-0.44,0.0189
Evi5,-1,0.0275
Scpep1,1,0.0305
RP23-44E17.1,-3.1,0.0224
Rpl26,0.8,0.0276
Crlf2,2.2,0.0307
Vti1b,0.93,0.0294
Fcgr3,0.46,0.0182
Cdc27,-1.6,0.0308
Ebpl,1.5,0.0316
Pik3r5,-1.3,0.0315
Terf2ip,-1.3,0.0316
Ago2,-2.4,0.0293
Tmem64,-1.3,0.0313
Ggta1,-1.3,0.0316
Nrp1,1.2,0.0315
Dnajb4,-1.1,0.0296
Nucb2,1.4,0.034
Tgfbr1,-0.57,0.0221
Baz2a,-3.1,0.0195
Rps15,0.66,0.0293
RP23-393C3.4,-3.4,0.0182
Pgk1,1.6,0.0345
Gxylt1,-1.4,0.0345
Klf2,-1.5,0.025
Spty2d1,-0.89,0.0315
Ube2g2,-0.82,0.0312
Ostc,0.87,0.0296
Rftn1,3.4,0.0218
Bach1,-1.5,0.0359
Gt(ROSA)26Sor,-1.4,0.0362
Serpinf1,-1,0.0322
Il4i1,3.6,0.0202
Frmd4a,-0.74,0.0286
Vps29,0.72,0.0288
Emc10,0.78,0.0316
Man2b1,0.58,0.0254
Arpc5,0.59,0.0271
Zfhx3,-1.1,0.0319
C1qa,0.64,0.025
Cd33,-0.59,0.0277
Psme1,0.78,0.0314
Tspan14,-0.67,0.0287
RP23-252E4.2,-1.5,0.0393
Stk4,-1.2,0.0391
Actr2,-0.93,0.0342
Fam109a,-3.1,0.0221
Zfp882,-3.2,0.0271
H2afz,0.75,0.0346
RP23-37J21.3,1.2,0.0397
Mis18a,-1.3,0.0408
Adrbk1,-0.92,0.0361
Park7,0.68,0.0314
Iffo1,-0.99,0.0387
Hrsp12,2.4,0.0377
Snhg20,2,0.038
RP24-365N15.5,-2.7,0.0314
Vasp,-0.87,0.0355
Ibtk,-2.4,0.0335
Slamf9,0.9,0.0345
Man1a,-0.93,0.0364
Pea15a,0.7,0.0316
Metrnl,1.6,0.043
Rnf19b,-0.99,0.0391
RP23-233B6.2,-0.85,0.0369
Ccng2,-0.71,0.0316
mt-Cytb,0.56,0.0251
Ephx1,2.1,0.0416
Skil,-0.79,0.0326
Rps27l,0.86,0.035
Celf1,-1.1,0.0395
Tmem147,0.77,0.0362
Acsl4,-1.2,0.0446
Spry1,-1.6,0.043
H2-DMa,0.6,0.0308
Kmt2e,-0.71,0.0349
Anp32a,1.5,0.0473
Snrnp48,-1.2,0.0453
Pald1,-0.94,0.0369
Sp100,1.9,0.0467
Map4k5,-1.2,0.0485
Nfkb1,-0.68,0.0404
Rpl30,0.86,0.0433
Atp6v0e,0.6,0.0318
Ddx1,0.96,0.0468
Dnajb14,1.3,0.05
Ubac1,1.3,0.0504
H2-T23,0.7,0.0392
Map3k3,-1.2,0.0472
Siva1,2.1,0.0479
Mrpl33,1.1,0.0496
Mrpl36,0.98,0.0482
Arhgef40,-1.6,0.052
Dgka,-1.9,0.0485
Ppp1r2,-1,0.0509
Atp6v0a2,-0.81,0.0453
Susd3,-0.43,0.0325
Naglu,1.1,0.053
Zfp120,-1,0.0491
Gnptg,0.82,0.0451
Lasp1,-1.1,0.0504
Smpdl3a,1.4,0.053
Psd4,-2.3,0.0517
Trmt10a,-1,0.0531
Hmgn3,2.4,0.0526
Hacd2,0.85,0.0473
Rps11,0.59,0.0395
Aldh3b1,2,0.0552
Txndc16,2,0.0543
Mbtps1,-0.96,0.052
Kcnk6,-1.2,0.0531
Dbi,1.1,0.0468
Ube2l6,1.5,0.0564
Zbtb18,-1.2,0.0555
Arhgap25,0.76,0.0467
Klhl6,0.71,0.0453
RP23-21E23.2,-3.2,0.038
Ccdc127,-0.9,0.0542
Smim3,0.97,0.053
Anapc13,0.77,0.0473
Grina,0.78,0.053
Napa,0.64,0.0432
Rpl39,1.4,0.0578
Orai2,-1.7,0.0584
Dis3l,-2.3,0.0485
Igf1,7.6,0.00742
Qtrt1,-1.1,0.0577
RP24-64D24.3,-1.9,0.0592
Picalm,-1.2,0.0488
Naa38,0.93,0.0543
Nckap1l,-0.62,0.0467
Zfp398,-1.5,0.0621
Nop10,0.7,0.0508
Higd1a,1,0.0588
RP23-147I23.2,2,0.0619
Plscr3,-0.82,0.0561
Gna13,-0.86,0.051
Trim8,-0.78,0.0499
Dolk,1.6,0.0633
Ssna1,0.73,0.053
Imp4,0.91,0.053
Arl4c,-1.3,0.0606
Cyth3,-1.2,0.0627
Dnajc10,2.6,0.0566
Psmc3,0.62,0.0499
Vapa,-0.52,0.0443
Uap1l1,0.87,0.0589
Nbl1,3.3,0.0403
Clstn1,-1.5,0.0663
Ifi27l2a,3.9,0.0687
Rad9b,-3.7,0.0315
Mrpl28,1.2,0.0628
Babam1,2,0.0663
Klhl9,-1.2,0.0671
Rpl28,1.1,0.0673
AC092855.1,0.8,0.0583
Ttc39b,-1.3,0.0683
Casc3,-1.1,0.0666
Anxa3,0.47,0.0416
Arhgap31,-0.82,0.0634
Gabpa,-1.4,0.069
Cbfa2t3,-1.4,0.0693
Camk2d,-0.65,0.055
Mapk6,-2.1,0.0554
Riok3,-0.95,0.0663
Dhx38,-2.2,0.0663
RP24-87A4.1,-1.8,0.0687
Hint1,0.79,0.055
Rhoc,1.2,0.0688
Gpd1l,-1.2,0.0695
Mthfsl,1.3,0.0697
Gba,0.65,0.0542
Bola3,1.5,0.0709
Dock10,-0.86,0.0602
Abhd12,0.42,0.0446
Trib1,-0.95,0.0655
Luc7l3,1.2,0.0695
Ddx31,1.9,0.072
Txn1,0.92,0.062
Pin1,0.83,0.0663
Malat1,-0.45,0.0287
Uqcc2,0.86,0.0641
Rbbp4,-0.65,0.0578
Renbp,0.87,0.0671
Sys1,1.1,0.0675
Ppt1,0.51,0.0487
Lrwd1,-1.2,0.072
Rps29,0.67,0.0542
Prkcd,-0.55,0.053
Snx3,0.61,0.0578
Nans,1.1,0.0714
Ankle2,-0.92,0.0683
Mylip,-0.76,0.0571
Ets1,-1.1,0.0725
St8sia6,4,0.043
Nme1,0.87,0.0673
Tial1,-1,0.0732
RP23-123N23.5,0.94,0.0665
Gsto1,0.82,0.0673
Med12l,-1.2,0.0732
Bnip3,0.84,0.0664
Sgk3,-0.8,0.0671
Fchsd2,-0.84,0.0673
RP23-250A14.2,-1.1,0.0755
Rtcb,0.77,0.0663
Tmco3,1.6,0.0784
Yes1,-2.2,0.0715
Dnajc19,0.75,0.0669
Ppa2,1.4,0.0788
Slc40a1,-0.81,0.0587
Rbm43,1.9,0.0752
Dpp9,-2.1,0.0703
Klf4,-2.3,0.0806
Rpl27,0.81,0.0707
Narf,-1,0.0695
Slc16a3,2.7,0.0509
Tmsb10,1.4,0.0791
Senp7,-1.5,0.0791
B4galt1,-1,0.0694
Mrpl52,0.76,0.0683
RP24-202L5.2,0.59,0.0596
Heatr5b,-3.1,0.0473
Ifi27,0.68,0.0625
Prdx1,0.98,0.0577
Mri1,2.7,0.0577
RP23-189N15.6,0.78,0.0695
Sp3,-1.4,0.0814
Zdhhc6,1.1,0.0791
Kdm1b,-1.4,0.0828
Nop2,-0.97,0.0813
Pfdn1,1.1,0.0808
Clasp1,-3.3,0.0652
Arpc1b,0.65,0.0625
Rbm39,-0.42,0.0526
Slc11a1,0.57,0.0613
Dleu2,-0.92,0.0755
Ociad1,0.77,0.0695
Stard8,-1.5,0.0851
Ccdc82,-1.4,0.0838
Kdm4c,-1.4,0.0854
RP23-106P7.2,1.4,0.0846
Rps12,0.96,0.0772
Mrps16,1.2,0.0828
Pdcd1,5.4,0.0281
Ndufb3,0.78,0.0698
Myd88,-0.65,0.0695
Filip1l,-0.9,0.0739
Donson,1.9,0.0839
Wdr3,1.9,0.0829
Sh3bp1,-0.87,0.0761
Tmem219,0.73,0.0739
Tubb4b,-0.95,0.0839
Vps26a,0.69,0.0704
Ajuba,-3.9,0.0485
Pgls,0.99,0.0813
Pwp2,-2,0.0839
Chd2,-0.83,0.0775
Irf2bpl,-1.3,0.0882
Kat7,-0.88,0.082
Serinc3,-0.45,0.0432
Pde4b,-0.93,0.0757
Itgam,-0.73,0.0625
Atp5c1,0.6,0.0673
Tmbim4,0.64,0.0671
Sem1,0.75,0.0663
Ttll4,-3.8,0.0473
Mfge8,2.1,0.0906
B3galt5,-1.9,0.0859
RP24-372E2.1,-2.3,0.0881
Zfp710,-1.4,0.0895
Tmem208,0.63,0.0739
Arl2,1.1,0.0902
Ndufa13,0.6,0.0673
Smurf1,-1.5,0.0925
Rpl36a,0.85,0.0839
Rplp0,0.49,0.0641
RP23-446P16.2,1,0.0879
Limk1,-1.7,0.0928
Txnl4a,1,0.0878
Smad1,-0.76,0.0771
Pou2f2,-1,0.0839
Pdk1,-0.84,0.0819
Klhl18,-2,0.0829
Mpi,-1.1,0.0839
Eif4e3,-1.2,0.094
Twf1,-1.2,0.0927
Ahcyl2,-1.6,0.0945
Abhd5,-1.4,0.0928
Rbm12,-1.4,0.0944
Trim34a,1.8,0.093
Ndufa3,0.66,0.0683
Hmgcs1,2.2,0.0922
Lrch1,-0.86,0.0881
Txnrd3,-4.4,0.0385
Lrba,-1.5,0.0913
Calr,0.54,0.0671
Snrpd2,1.1,0.0944
Jmjd1c,-0.82,0.0739
Slc35b1,0.8,0.0816
Mapre2,-0.66,0.0787
Gpr65,2.1,0.0987
Cnpy2,0.64,0.0693
Vps28,0.55,0.0693
Rpl31,0.76,0.085
Ddost,0.52,0.0663
Rps27a,0.64,0.0759
RP24-344N22.4,-1.5,0.0993
Dhrs3,0.67,0.0761
Zfp213,-1.7,0.1
Ift22,2.7,0.0694
Srsf2,-0.55,0.0695
Fkbp3,0.84,0.0844
RP23-6P9.7,2.5,0.0816
Lsm10,0.8,0.0842
Zfp935,-2,0.0907
Ubc,-0.56,0.051
Ier3,-0.8,0.0713
Tmem44,-2.5,0.0958
Rpl7l1,-0.59,0.0785
AC130827.2,1.6,0.104
Mien1,0.78,0.0839
Btg1,-0.46,0.0693
Atp6v1b2,0.65,0.082
Coil,-1.6,0.104
Usp18,2.4,0.102
Rps15a,0.81,0.093
Rpl11,0.67,0.0807
CH36-200G6.4,-0.86,0.0924
Tceal9,0.94,0.0881
RP24-406I15.2,3,0.0828
Chd9,-0.82,0.0814
Heca,-1.2,0.105
Zfp810,-1.4,0.105
Pole4,0.73,0.0888
Btg2,-0.47,0.053
Banf1,0.66,0.0839
Sae1,1.3,0.107
Aurkaip1,0.78,0.0903
Bicd2,-1.3,0.105
Esd,0.91,0.0927
Zc3h10,-1.3,0.107
Pmvk,4.3,0.0438
Eif3g,0.62,0.0806
Bcap31,0.53,0.0701
Ptrhd1,1.2,0.106
Smpd5,2.6,0.0883
Plin3,4.1,0.0606
Nbea,-3,0.0841
Atp5g1,0.69,0.0881
Tmem100,-0.57,0.0839
Uhrf1bp1l,-2,0.107
Prelid2,4.4,0.0494
Fam162a,1,0.104
Tiprl,-0.71,0.0919
Bola2,1.1,0.105
Rnf146,-0.81,0.0944
Zmym2,-1.2,0.112
Fam120b,1.6,0.111
Cd164,-0.51,0.0683
H2-Q7,2.3,0.105
Zbtb6,-2.6,0.0903
Nudt14,1.4,0.112
Pon2,0.7,0.0895
Tbc1d5,-0.92,0.102
Gde1,0.75,0.0895
Ppfia4,0.52,0.0803
Kcnip3,-1.2,0.11
Il6ra,-0.9,0.0927
Tmx4,-0.76,0.0839
Phf5a,1,0.111
Rhobtb1,-0.99,0.111
Ppp1r10,-0.92,0.107
Phf8,-2.4,0.0928
Itpripl1,-1.7,0.114
Nrros,0.52,0.0785
Fos,-0.71,0.0542
Wdr37,-1.1,0.109
Adtrp,-4.2,0.0442
Tspan18,-1.4,0.115
Srsf1,-0.9,0.108
AC114920.2,0.92,0.101
Fam50a,0.66,0.0928
Cry1,-3.5,0.0839
Pfdn5,0.69,0.0898
Guca1a,2.1,0.111
Sdccag8,-1.1,0.11
Smarcd2,-0.85,0.105
Upf1,-3.3,0.0786
Atp5o,0.63,0.0909
Snupn,-1.5,0.12
Crybb1,-0.65,0.0895
Myo1c,-1.8,0.117
Abca1,-1.7,0.105
Gemin7,1.1,0.113
Axl,7,0.0596
RP24-144H23.5,-1.3,0.111
Ercc5,-1,0.105
Msl1,-1.2,0.12
Ppm1f,-2,0.117
Spen,-1.5,0.12
Atp5a1,0.46,0.0791
Gimap5,-4.5,0.0578
Ubqln1,-0.68,0.0947
Mrps17,0.85,0.102
Akap13,-0.67,0.0925
Sike1,-0.86,0.106
Ugdh,-1.1,0.117
Haus8,2.4,0.107
Idua,1.2,0.122
RP23-16N14.2,-4.3,0.0562
Plxdc1,1,0.114
Lzic,-1.2,0.121
RP24-228M19.1,1.2,0.12
Irf2bp2,-1.1,0.107
H2-Q6,2.4,0.111
Ssr2,0.64,0.0928
Pgm2l1,-5.7,0.0521
Tspyl1,-0.85,0.11
Phf23,-0.74,0.108
Pde6d,1,0.12
Atxn10,0.73,0.102
Map3k7,-1.2,0.121
Rchy1,-0.88,0.113
Fam135a,-2.1,0.112
Pomp,0.53,0.0822
Adss,-1.1,0.121
Tmem256,0.65,0.0938
Zfp36l1,-0.66,0.0888
Tbck,-1.6,0.126
Gpr108,0.65,0.102
Syce2,2.8,0.1
Tada2b,-1.9,0.123
Pxn,-1.1,0.122
Chd3os,-2.6,0.11
Cep95,-1.9,0.123
Pdzd8,-1.8,0.128
Slc25a17,-0.74,0.111
Lcor,-1.3,0.129
Hnrnph1,-0.81,0.1
Wrb,1.2,0.127
Cybb,4.2,0.105
Trip10,-1.8,0.126
Exoc7,1,0.12
Sash3,-0.69,0.102
Rps24,0.7,0.105
Snrpa,-0.94,0.122
Cd1d1,-1.2,0.128
Gmfg,0.67,0.105
Amdhd2,1,0.123
Lsm7,0.87,0.115
Ndufs8,0.67,0.0951
Plcl2,-0.62,0.102
Rela,-0.64,0.0947
Prkd3,-1.4,0.128
Git2,-0.59,0.0963
Acvr2b,-1.3,0.133
Smarca2,-0.85,0.116
Map3k9,-4.8,0.0555
Vkorc1l1,-2.4,0.111
Zfp27,-4.2,0.0761
Tcn2,0.51,0.0837
Cntrob,-3.6,0.0797
Ndufs7,0.54,0.0924
Cops5,-0.72,0.112
Whrn,-1.3,0.133
AC155158.1,0.8,0.11
Bscl2,0.71,0.107
Htatip2,3.9,0.0842
Acap2,-0.75,0.109
2510009E07Rik,-1.3,0.133
Hn1,0.54,0.0966
Tmem19,1.2,0.134
Clasp2,-1.1,0.129
Apbb2,1.7,0.136
Rassf2,-1.2,0.122
Arl11,1.2,0.132
Msl3,1.5,0.137
Tbl3,-1.1,0.133
Zfp46,-3.4,0.11
Ndufs6,0.63,0.11
Zkscan8,-3.4,0.109
Snx25,-1.9,0.128
Pcf11,-0.81,0.117
Nprl2,-1.1,0.131
Sulf2,2,0.128
Wdr53,2.1,0.125
Ahctf1,-1.9,0.134
Copz2,1.1,0.137
Rps26,0.83,0.12
Nfat5,-1.7,0.14
Tmem218,3.3,0.121
Prkab1,-0.56,0.102
Cdk5rap2,-2.3,0.126
Pip4k2a,-0.55,0.0971
Atp6v1a,0.88,0.12
Tardbp,-0.9,0.126
Alkbh5,-1.1,0.14
Gmfb,0.74,0.12
Ddx51,-1.1,0.14
RP23-46L17.6,-2,0.14
Fam160a2,-1.6,0.141
Bcl2a1b,0.68,0.111
Tcf3,-0.93,0.13
Il4ra,-0.94,0.12
Pdk3,1.4,0.143
Luzp1,3.6,0.0898
Fes,-0.66,0.109
Stra13,1.4,0.143
Actn4,-0.74,0.12
Asb10,3.2,0.104
Guk1,1.1,0.134
RP23-192C21.1,-0.5,0.0958
Pet100,0.68,0.122
Fzd4,-1.9,0.143
Eps8,-2.4,0.132
Ampd3,-2.4,0.145
Mrpl54,1.1,0.132
Adpgk,1.5,0.145
Rwdd2a,-2.2,0.141
Fnbp1l,-2.8,0.126
Zfp157,-1.1,0.14
B4galt4,-0.74,0.114
Uqcrc1,0.59,0.113
RP23-175C13.3,-3.2,0.0976
Trim2,-1.3,0.142
Plod3,0.81,0.128
RP23-241N10.1,-4.6,0.0587
Mrpl42,0.72,0.114
Kdm3b,-1,0.14
Cox19,2,0.146
Dhrs1,1,0.14
Sugct,-3.1,0.122
Glb1,0.77,0.121
Ptgs1,-0.4,0.0851
Mtmr3,-1.2,0.143
Psmb10,0.58,0.111
Cyc1,0.5,0.11
Eif1a,0.89,0.131
Mafb,-0.62,0.0895
Stk3,-0.96,0.141
Pgm3,-0.98,0.142
Pitpnc1,2.2,0.14
Osbpl11,-0.74,0.12
Mrps9,1.7,0.152
RP24-381E21.2,-3.9,0.0898
Sp4,-2.1,0.138
Grap,-0.72,0.122
Wdfy2,-1.1,0.148
Ddi2,-1.2,0.153
RP23-135G19.1,-2.1,0.15
Impact,-0.74,0.128
Sft2d2,-0.8,0.124
Mta3,2.5,0.122
RP24-68H1.1,-0.61,0.121
AC116511.4,-2.3,0.137
